epoch102 train_loss:7.346364, val_loss:7.786790, asu_loss:4.103372, size_loss:2.451608, opcode_loss:1.231626, time_diff_loss:0.000184, asu_accu:0.125563, opcode:0.677682, cost_time: 0:01:32.766153
epoch103 train_loss:7.345619, val_loss:7.786731, asu_loss:4.104326, size_loss:2.448530, opcode_loss:1.233691, time_diff_loss:0.000184, asu_accu:0.125316, opcode:0.675391, cost_time: 0:01:32.909626
epoch104 train_loss:7.345433, val_loss:7.788206, asu_loss:4.104099, size_loss:2.448331, opcode_loss:1.235592, time_diff_loss:0.000184, asu_accu:0.125340, opcode:0.673761, cost_time: 0:01:33.133351
epoch105 train_loss:7.345226, val_loss:7.790593, asu_loss:4.103499, size_loss:2.452324, opcode_loss:1.234586, time_diff_loss:0.000184, asu_accu:0.125639, opcode:0.675877, cost_time: 0:01:33.080016
epoch106 train_loss:7.344708, val_loss:7.783470, asu_loss:4.103850, size_loss:2.445951, opcode_loss:1.233486, time_diff_loss:0.000184, asu_accu:0.125511, opcode:0.676555, cost_time: 0:01:33.011958
epoch107 train_loss:7.345179, val_loss:7.786134, asu_loss:4.104092, size_loss:2.447036, opcode_loss:1.234822, time_diff_loss:0.000184, asu_accu:0.125471, opcode:0.675839, cost_time: 0:01:33.470865
epoch108 train_loss:7.345078, val_loss:7.785906, asu_loss:4.103985, size_loss:2.445524, opcode_loss:1.236213, time_diff_loss:0.000184, asu_accu:0.125171, opcode:0.675250, cost_time: 0:01:33.827422
epoch109 train_loss:7.344568, val_loss:7.790915, asu_loss:4.103989, size_loss:2.451462, opcode_loss:1.235280, time_diff_loss:0.000184, asu_accu:0.125312, opcode:0.676446, cost_time: 0:01:33.183920
epoch110 train_loss:7.346095, val_loss:7.794859, asu_loss:4.103985, size_loss:2.452520, opcode_loss:1.238171, time_diff_loss:0.000184, asu_accu:0.125113, opcode:0.674294, cost_time: 0:01:33.151843
epoch111 train_loss:7.344623, val_loss:7.785787, asu_loss:4.104158, size_loss:2.443529, opcode_loss:1.237916, time_diff_loss:0.000184, asu_accu:0.125229, opcode:0.675984, cost_time: 0:01:33.174497
epoch112 train_loss:7.344579, val_loss:7.782359, asu_loss:4.104266, size_loss:2.439522, opcode_loss:1.238386, time_diff_loss:0.000184, asu_accu:0.125169, opcode:0.675419, cost_time: 0:01:33.155820
epoch113 train_loss:7.344555, val_loss:7.783380, asu_loss:4.104069, size_loss:2.440129, opcode_loss:1.238998, time_diff_loss:0.000184, asu_accu:0.125297, opcode:0.674994, cost_time: 0:01:33.308811
epoch114 train_loss:7.343916, val_loss:7.785637, asu_loss:4.104394, size_loss:2.442313, opcode_loss:1.238746, time_diff_loss:0.000184, asu_accu:0.124989, opcode:0.675623, cost_time: 0:01:32.935202
epoch115 train_loss:7.343860, val_loss:7.782364, asu_loss:4.104566, size_loss:2.438354, opcode_loss:1.239261, time_diff_loss:0.000184, asu_accu:0.124927, opcode:0.674675, cost_time: 0:01:33.281104
epoch116 train_loss:7.344301, val_loss:7.782991, asu_loss:4.104351, size_loss:2.440325, opcode_loss:1.238131, time_diff_loss:0.000184, asu_accu:0.125225, opcode:0.676653, cost_time: 0:01:33.521196
epoch117 train_loss:7.344064, val_loss:7.788495, asu_loss:4.104471, size_loss:2.443409, opcode_loss:1.240432, time_diff_loss:0.000184, asu_accu:0.125090, opcode:0.675214, cost_time: 0:01:33.007891
epoch118 train_loss:7.342491, val_loss:7.779344, asu_loss:4.104058, size_loss:2.435671, opcode_loss:1.239431, time_diff_loss:0.000184, asu_accu:0.125242, opcode:0.676215, cost_time: 0:01:33.392365
epoch119 train_loss:7.341798, val_loss:7.781109, asu_loss:4.104339, size_loss:2.436033, opcode_loss:1.240553, time_diff_loss:0.000184, asu_accu:0.124910, opcode:0.674741, cost_time: 0:01:33.541038
epoch120 train_loss:7.341896, val_loss:7.785055, asu_loss:4.104246, size_loss:2.440849, opcode_loss:1.239775, time_diff_loss:0.000184, asu_accu:0.124929, opcode:0.675670, cost_time: 0:01:33.358187
epoch121 train_loss:7.341682, val_loss:7.781928, asu_loss:4.104657, size_loss:2.438498, opcode_loss:1.238589, time_diff_loss:0.000184, asu_accu:0.124992, opcode:0.677376, cost_time: 0:01:32.843279
epoch122 train_loss:7.341151, val_loss:7.778244, asu_loss:4.104284, size_loss:2.433682, opcode_loss:1.240093, time_diff_loss:0.000184, asu_accu:0.124996, opcode:0.675712, cost_time: 0:01:33.283315
epoch123 train_loss:7.341974, val_loss:7.783796, asu_loss:4.104481, size_loss:2.439349, opcode_loss:1.239783, time_diff_loss:0.000184, asu_accu:0.125163, opcode:0.675654, cost_time: 0:01:33.406393
epoch124 train_loss:7.340694, val_loss:7.780564, asu_loss:4.104121, size_loss:2.436416, opcode_loss:1.239843, time_diff_loss:0.000184, asu_accu:0.125346, opcode:0.676271, cost_time: 0:01:32.867451
